date,Cl,NO3,SO4,Ca,K,Mg,Na
3/28/08,72.38,1.91,108.74,142.22,22.25,82.27,21.75
3/29/08,62.86,0.33,108.69,132.24,20.97,78.16,22.18
3/30/08,62.85,0.15,99.03,127.25,21.23,78.16,22.18
3/31/08,76.8,0.18,99.36,137.23,22.76,82.27,26.97
4/1/08,61.66,0.36,111.89,144.71,23.02,82.27,22.62
4/2/08,67.27,0.01,101.44,152.2,23.27,82.27,24.36
4/3/08,72.63,0.02,105.1,162.18,22.51,86.38,23.92
4/4/08,68.14,0.1,100.76,157.19,23.02,86.38,23.49
4/5/08,70.56,0.06,107.62,154.69,25.32,86.38,26.53
4/6/08,63.93,0.16,102.98,139.72,23.27,82.27,23.05
4/7/08,66.04,0.17,106.18,137.23,23.02,82.27,23.05
4/8/08,64.33,0.04,105.24,139.72,23.27,82.27,22.62
4/9/08,57.86,0.71,103.81,144.71,23.53,82.27,23.92
4/10/08,66.08,0.23,99.33,149.7,23.53,82.27,23.49
4/11/08,71.88,0.23,118.59,154.69,23.79,82.27,23.49
4/12/08,74.1,0.02,109.42,157.19,23.79,86.38,23.49
4/13/08,70.78,0.24,104.41,144.71,23.27,86.38,23.05
4/14/08,63.77,0.09,97.56,139.72,23.53,86.38,24.36
4/15/08,63.25,0.12,141.8,144.71,24.04,86.38,25.66
4/16/08,64.77,0.02,102.51,144.71,23.79,86.38,23.92
4/17/08,66.77,0.07,106.04,147.21,23.79,86.38,23.49
4/18/08,93.03,4.58,145.62,154.69,25.32,94.61,34.36
4/24/08,24.76,NA,102.97,51.3,24.73,74.17,19.55
4/24/08,25.34,NA,94.3,50.9,24.04,74.13,20.56
4/24/08,32.17,NA,102.21,124.43,23.73,80.21,22.59
4/30/08,23.09,NA,122.27,50.55,26.42,74.29,18.77
4/30/08,24.73,NA,92.64,46.88,23.43,68.74,21.19
4/30/08,27.13,NA,158.92,111.73,21.71,73.1,22.88
5/2/08,71.04,0.19,109.56,147.21,24.3,82.27,22.18
5/3/08,72.71,1.68,104.05,159.68,24.55,86.38,22.62
5/4/08,69.37,0.61,116.78,137.23,24.55,82.27,22.18
5/6/08,27.35,NA,203.26,131.06,22.2,80.91,23.74
5/7/08,38.07,NA,125.63,146.36,22.15,83.09,24.75
5/8/08,35.24,NA,133.36,161.35,25.01,88.56,28.5
5/9/08,37.37,NA,121.14,167.81,22.74,90.54,28.27
5/10/08,34.13,NA,130.08,172.88,23.76,92.02,27.41
5/11/08,29,NA,109.44,163.6,22.86,90.42,26.37
5/12/08,29.57,NA,98.38,105.31,21.87,78.16,22.08
5/13/08,34.45,NA,127.7,99.53,21.92,75.94,22.04
5/14/08,22.55,NA,134.87,55.56,24.35,76.59,18.67
5/14/08,24.19,NA,128.51,51.52,22.63,71.66,21.89
5/14/08,32.65,NA,112.36,122.73,21.41,75.69,22.64
5/14/08,36.64,NA,117.53,121.61,21.41,79.68,22.79
5/15/08,33.27,NA,122.45,140.29,22.66,82.72,24.62
5/16/08,34.47,NA,95.8,150.97,22.43,83.34,24.47
5/17/08,34.01,NA,97.66,128.99,22.3,80.34,23.49
5/18/08,31.6,NA,124.74,134.28,21.69,79.64,22.72
5/19/08,35.34,NA,104.97,135.15,21.41,81.9,23.81
5/20/08,34.09,NA,95.8,139.82,21.89,87.37,23.41
5/21/08,32.79,NA,101.3,127.45,22.38,79.76,23.17
5/22/08,32.73,NA,100.69,126.95,21.56,82.64,23.07
5/23/08,35.86,NA,102.15,134.41,21.36,85.81,23.15
5/24/08,42.63,NA,124.32,151.62,21.94,86.01,23.58
5/25/08,38.41,NA,104.4,171.41,27.75,90.74,27.84
5/26/08,40.22,NA,111.37,187.8,22.76,91.57,26.13
5/27/08,39.36,NA,115.33,206.41,26.45,98.97,28.65
5/28/08,38.69,1.34,109.96,224.98,23.35,100,28.22
5/29/08,34.39,NA,133.46,238.7,24.88,104.4,35.04
5/29/08,41.03,NA,118.18,219.34,24.96,104.4,31.88
5/30/08,23.15,NA,110.52,231.84,24.81,104.32,28.83
5/31/08,23.46,NA,147.15,241.87,27.29,104.52,30.1
6/1/08,22.52,NA,102.79,254.82,27.67,108.6,31.13
6/2/08,25.32,NA,105.6,272.43,27.52,113.45,32.69
6/3/08,24.41,NA,101.96,282.96,28.52,118.06,36.22
6/4/08,24.47,NA,110.35,306.89,38.36,123.41,31.32
6/5/08,25.34,NA,150.97,319.36,35.81,127.52,31.75
6/6/08,60.5,1.31,141.07,351.8,35.81,139.86,33.06
6/7/08,24.49,NA,114.91,376.75,30.69,143.97,33.49
6/8/08,25.64,0.96,125.25,424.15,38.36,164.54,33.49
6/9/08,26.59,1.01,97.92,474.05,40.92,181,36.97
6/10/08,30.27,NA,86.34,531.44,43.48,197.45,36.54
6/11/08,24.87,NA,89.81,471.56,48.59,176.88,36.97
6/12/08,9.82,NA,37.2,439.12,35.81,156.31,36.1
6/13/08,25.35,NA,86.74,513.97,43.48,176.88,37.84
6/14/08,25.28,1.74,88.4,561.38,46.04,189.22,41.32
6/15/08,27.37,3.01,134.27,578.84,43.48,189.22,44.37
6/16/08,26.7,5.94,78.02,551.4,43.48,185.11,40.02
6/17/08,22.89,NA,90.73,436.63,43.48,156.31,36.97
6/18/08,22.94,NA,92.67,466.57,38.36,164.54,38.71
6/19/08,25.06,1.23,95.84,484.03,38.36,172.77,39.58
6/20/08,26.09,NA,99.79,439.12,35.81,160.43,40.45
6/20/08,23.88,4.5,98.13,461.58,33.25,160.43,36.97
6/21/08,28.03,11.43,92.09,503.99,35.81,176.88,37.84
