name,date,area,Q_cms,Ca,Mg,Na,K,Cl,SO4,NO3,X_pyrite,X_pyrite_sd,X_rain,X_rain_sd,X_fertilizer,X_fertilizer_sd
SH,2008-03-28T00:00:00Z,0.08,0.0012208365483539095,142.22,82.27,21.75,22.25,72.38,108.74,1.91,0.1697680881392146,0.19036767852622757,0.8244317607148786,0.2040020605049213,NA,NA
SH,2008-03-29T00:00:00Z,0.08,0.0012180499292695473,132.24,78.16,22.18,20.97,62.86,108.69,0.33,0.291431297199118,0.2541763984235734,0.7054330624229587,0.24409095697009583,NA,NA
SH,2008-03-30T00:00:00Z,0.08,0.0012243055555555555,127.25,78.16,22.18,21.23,62.85,99.03,0.15,0.17887416151466773,0.11675756602154733,0.8074287943204858,0.11997767698573927,NA,NA
SH,2008-03-31T00:00:00Z,0.08,0.0012243055555555555,137.23,82.27,26.97,22.76,76.8,99.36,0.18,0.13521965164873104,0.07666228364073309,0.8594331973523721,0.0922706303510484,NA,NA
SH,2008-04-01T00:00:00Z,0.08,0.001140159623279964,144.71,82.27,22.62,23.02,61.66,111.89,0.36,0.2126308259771567,0.1612442066763699,0.7614913333168405,0.1642005863723067,NA,NA
SH,2008-04-02T00:00:00Z,0.08,9.531563256333591e-4,152.2,82.27,24.36,23.27,67.27,101.44,0.01,0.2613538672834485,0.17641121244630006,0.7223668246579691,0.1805746956828085,NA,NA
SH,2008-04-03T00:00:00Z,0.08,9.104295018325617e-4,162.18,86.38,23.92,22.51,72.63,105.1,0.02,0.20975582679512678,0.14315489716428656,0.7647370714494437,0.14586483673860906,NA,NA
SH,2008-04-04T00:00:00Z,0.08,9.804542724408435e-4,157.19,86.38,23.49,23.02,68.14,100.76,0.1,0.23814387633059014,0.18503022734433197,0.7515906450546089,0.18180175956875894,NA,NA
SH,2008-04-05T00:00:00Z,0.08,9.377266340342077e-4,154.69,86.38,26.53,25.32,70.56,107.62,0.06,0.25890120104444897,0.17390525743151058,0.7184945184763364,0.17392089792967116,NA,NA
SH,2008-04-06T00:00:00Z,0.08,0.0011562556201774692,139.72,82.27,23.05,23.27,63.93,102.98,0.16,0.21549964338748753,0.13048538440321195,0.7853054035474623,0.13254334573442728,NA,NA
SH,2008-04-07T00:00:00Z,0.08,0.0012121664411329732,137.23,82.27,23.05,23.02,66.04,106.18,0.17,0.17233552881873154,0.1285948108346073,0.8274674030608546,0.1405218051238514,NA,NA
SH,2008-04-08T00:00:00Z,0.08,9.506349249292695e-4,139.72,82.27,22.62,23.27,64.33,105.24,0.04,0.204056304405902,0.1347733749076475,0.7851073857006163,0.13853984928002,NA,NA
SH,2008-04-09T00:00:00Z,0.08,9.112887080439815e-4,144.71,82.27,23.92,23.53,57.86,103.81,0.71,0.3747956239978287,0.210135337506321,0.6003279674123609,0.20751229837279142,NA,NA
